ship_name,id,title,category,comment
211,1373,Keep clear markings,General,The Keep Clear Markings at this intersection have faded terribly and cars and trucks have recommenced blocking access to Cutcliffe Avenue.
212,1374,No right turn sign required,General,Mary Wade Correctional Centre No right turn from exit driveway required.
213,1375,Erosion on driveway,General,The space between the footpath and the road on the driveway has eroded. It has left a drop off at the footpath and it is a trip hazard.
214,1376,OMG - raised curb from road,General,Parking my car and thought I hit a wombat. I got out of the car to see what appeared like the earth had moved in an earthquake causing the road to sink and the curb and pavement to rise. Much damage caused to my tyre - mid height on the outside surface.
215,1377,Dangerous loose concrete in laneway,General,At the back of 66 Giles street Kingston in the laneway near the Supabarn loading dock door there is a huge hole in the road with a piece of concrete that is raised and loose. This is dangerous and when a car drives over it the concrete moves. Just worried someone is going to be injured by this. Please repair. Thank you.
216,1378,Post on ground,General,Dangerous trip hazard
217,138,Unregistered vehicle parked dangerously,General,1994 GREY HOLDEN COMMODORE UTILITY EXPIRED REGO BU-66-LO (30-4-2014)
218,1382,Bark in Park - Cutcliffe Reserve,General,"The upgraded park has been surrounded by dirty, stinking, syringe hiding bark rather than softfall as used in modern park upgraded. Just look at Coleman Park for example."
219,1384,Greenfield Rd Constantly Potholed,General,There are potholes along the entire length of Greenfield Rd that need constant repair. :-(
220,1385,Greenfield Road Empire Bay,General,There’s constant pothole repair required on this only access road to Empire Bay.
221,1386,Street lights out,General,Street lights have been out for weeks. Neighbors have reported multiple times.
222,1387,Street lights,General,"Many street lights along Airey Crescent and Meston are very dim, if not broken altogether."
223,1389,Spelling mistake in new street signs!,General,These shiny new street signs have spelt Cooranbong as CooranGbong!!!
224,139,Dogs barking early hours of the morning and during the day,General,Hi Fixmystreet
225,1390,Household rubbish dumped and gate rammed to get access,General,I climbed Oakey Hill today and was shocked to see what must have been a trailer of household rubbish dumped just off the bitumen track that goes around the reservoir on the Lyons side. When I got to the bottom of the hill the gate next to the power station was rammed open to gain access. It saddens me that this type of behaviour had spoilt a beautiful site.
226,1391,Footpaths,General,Collapsed footpath between 9 Bromley Street Wanniassa and McBryde Cres underpass
227,1392,Road Sign and KEEP CLEAR markings require Urgent Fix,General,The Do not queue across the intersection sign at the intersection of Lewis Street and Joseph Street Regents Park / Yagoona requires urgent reattachment to its post. The sign is rarely obeyed at this intersection as a result of its poor positioning and the absolutely ridiculously dangerous 80km / hr speed sign just prior to it on a crest south of Lewis Street.
228,1393,Pothole on corner,General,There’s a little pothole right on this corner.
229,1394,Council Infringement issued to disabled driver,General,"I noticed as I was walking along Moore Street, Liverpool that a Vehicle, NSW registration number CYQ56L with a clearly displayed Disability Parking permit displayed had been issued an infringement."
230,1395,Poor playground,General,There is a small park and sparse and rather neglected playground that could really use a facelift and expansion to meet the growing needs of the community. We’ve had a recent influx of young families in the surrounding streets and a real interest in this facility being rejuvenated.
231,1396,Trench across road has subsided,General,Workers dug trench for water across road and back filled the trench but it has subsided 100mm .
232,1398,Fox in Potts Hill area,General,Saturday 2:30pm this dirty fox seen running in open grassed area adjacent to conservation area. It has been seen regularly by others (first time by myself) to be running along here and in and out of bush land.
233,1399,Street Light Out,General,The street light is out... again.
234,1401,Potholes Need Refilling,General,Recently filled potholes have reopened.
235,144,Damage to Homes from Council Roadworks,General,"Almost 2 years ago, Lake Macquarie City Council undertook major roadworks which involved a total reconstruction of approximately 400 metres. Since that time a problem has occurred with the road materials resulting in major damage to homes fronting the road."
236,15,Dumped boat and trailer,General,"It is now a year since this boat and trailer were dumped outside our place, parked over the top of the fire hydrant!"
237,150,Dangerous driving,General,There are many people using Stokes Street as an alternative to driving on the Pacific Highway and this is causing a very dangerous situation in a residential area. I get tooted at and alot of drivers drive between 60-80kms per hour. My 5 year old daughter is completely frightened to cross with me because of how the drivers use this street.
238,152,Diamond Road Diamond Beach 2430,General,When is this road going to be repaired so it lasts longer than the tar and gravel bandaid approach over the past years.
239,156,Graffiti on poles,General,Graffiti on poles outside 5 Cullen street
240,157,Street sign loose,General,The street sign bracket requires repair. The sign is crooked and may fall off.
241,16,Thanks,General,Just want to thank you for the great job in kerb and guttering Pantawara Street Balcolyn. Its changed the ambience and feel of the whole area - its valued! Appreciated by many who walk this street to the Lake.
242,167,Uneven road surface,General,"There's a significant dip in the road surface, particularly in the right lane northbound on Hill Road just beyond where traffic exits the M4 onto Hill Road. Due to the size of the dip, I usually slow to about 25km/h - something drivers behind don't always anticipate or appreciate, however going into the dip at 50 or 60 km/h causes significant jarring to the car, its driver and passengers."
243,168,Road Base Damage,General,The hole length of Queen street has major road way base/ foundation damage. Street gets surface patches every so often but not major repairs as needed.
244,171,Pot holes,General,"The road way has broken away on the edges leaving pot holes, cars travelling toward Millers road have to move to the middle of the road to avoid the pot holes as it is on a bend in the road the situation can be dangerous"
245,172,Re-sealing needed,General,"Mount Browne Road needs re-sealing from approximately 2 kilometres from the Coramba Road turn off to where it adjoins Upper Orara Road. The road is full of patched up potholes and is very bumpy. There is a huge pothole where I have marked on the map. This section of the road constantly needs repairing, especially after rain."
246,173,"Pot holes, uneven surface",General,"Lovely wide road, patched and patched, needs proper resurfacing and fixing............."
247,174,Pot Hole,General,A hole as been fixed there years ago and now its starting to cave in
248,178,Line Pine Avenue Umina Beach,General,I drive daily along Lone Pine Avenue Umina Beach and the road is terrible. The road is covered with potholes and bad edges. Almost daily I have to come to a stop on the side of the road while waiting for other traffic to pass as they drive in the middle of the road to avoid potholes. Not only is the road in terrible condition it is getting more and more dangerous every day. I can't believe in 2014 a main road like this is still has no guttering. Once again the peninsula roads are neglected.
249,179,Condition of a Road,General,"Grosvenor Rd is in a terrible state. The repairs are taking ages, there are no warning signs about all the large cracks and fissures in the road. Traffic has to slow right down, all without any warning at all. I would have thought that KMC thought it was important to advise road users of the conditions well in advance."
250,18,Parking on verge/ street lighting at basketball court/ playground (cnr spark and mckenzie),General,First request cars parking on verge all along bedford street making it hard to get through with stroller - could it be one way? second request great basketball court and playground - loads of young people/ families come and use it but could we have better lighting and some shaded seating?
251,182,Bumpy road surface on Lyons Rd Russell Lea,General,"Hi there, There is a bumpy road surface in front of my house on Lyons Rd Russell Lea. This virtually invisible uneven road surface make all trucks and utes jump and generates a lot of noise if they have loose cages/gates, trade tools, materials or boxes on their tray. As they speed past my house, this jumping motion generates very loud and disturbing sound continuously due to non stop heavy traffic. Thanking you in advance for considering my problem."
252,184,Road construction,General,No one is working since January. Barricade every where. Just want to know when this project will be finished.
253,189,Abandoned trailer ( not registered),General,The trailer has been there for about a month. It is parked dangerously.
254,19,Weeds on footpath out of control,General,Weeds are growing waist-high on the footpath at the end of Church street (growing through the cracks in the asphalt).
255,191,Surface on sides on road,General,"Because the street has no guttering, and only dirt and gravel on the sides of the road. Whenever it rains the dirt gets washed away and the gravel often gets washed across the road causing a hazzard. Also the erosion is starting to cause hazzards from driveways with the levels getting lower and lower from the property height"
256,192,Surface of Sutton Road breaking up,General,Sutton road Ashcroft is a very well traveled road with buses and heavy trucks using this road every day. I have seen side streets being patched; another mess but this main road has had no attention for at lest 25 years. It needs a total resurface as the existing surface is cracking up and the under-base can be seen coming through the cracks as a cray sludge.
257,193,Dangerous corner,General,I am always wary driving down Grosvenor Rd on my way to work in the morning because of the near misses I have seen. There is a blind corner and sometimes the traffic is backed up the road. Cars and trucks fly around the corner then have to slam on the brakes as they come upon a line of cars not moving. One day late last year I was sitting there and a truck came tearing down the road towards my stationary car. I had nothing to do except edge my car forward a little. The poor truck went onto the other side of the road (thankfully nothing was coming the opposite direction) to stop plowing into the back of me (and causing a multi car pile up).
258,195,Street Light,General,Street light not working
259,197,Motorcycle parking,General,"With the increase in the number of cafes and retail stores in this precinct, along with the number of people taking up motorcycle and scooter riding, there is an urgent need in this area to establish parking facilities specific for motorcycle and scooters. There is sufficient space between the last demarcated car space and the traffic lights to establish some bays."
260,198,Road Damage (Pot holes and wash outs),General,Council works were carried out on the road last year and no resurfacing done. With all the rain and heavy transport (sheep and cattle trucks) the dirt fill ins and existing pot holes have gotten larger. Perhaps some fill in could be done.
261,199,"Too many potholes, uneven surface",General,Needs to bo completely re surfaced along the road from about Eastern Av to Tarro Pub
262,20,Significant number of large potholes,General,This section of Bayview st near Warners Bay rd had a large number of very big pot holes continually
263,201,Stormwater,General,"During persistent or heavy rain, storm water running down the street will then continue down our driveway often bringing topsoil and gravel which will clog up our drains and cause flooding."
264,204,Fix the street,General,Ives Avenue also needs a pavement for pedestrian walking. it is dangerous to cross or walk the street with baby strollers. too many times i have been honked or shouted by drivers because im sharing the road with the motorists. appreciate if this can be provided as the road is busy during the day time.
265,206,Speeding in side street 50km/h zone,General,"Hitchcock st provides a shortcut between St Albans Rd and Fellmongers Rd. This shortcut is used by students of the Gordon Tafe and people travelling home in the afternoons as a way of avoiding the fellmongers rd and boundary rd round about which gets extremely congested from 3:30pm - 5:30pm weekdays. All day, every day people speed down this street. There are lots of families with young children in the street, it’s only a matter of time before the inevitable happens. I have been in the street 3 years and already I’ve seen 4 cars lose control on the corner halfway down Hitchcock st, 3 of which ended up in someone’s front yard."
266,207,Speeding in side street 50km/h zone,General,"Hitchcock st provides a shortcut between St Albans Rd and Fellmongers Rd. This shortcut is used by students of the Gordon Tafe and people travelling home in the afternoons as a way of avoiding the fellmongers rd and boundary rd round about which gets extremely congested from 3:30pm - 5:30pm weekdays. All day, every day people speed down this street. There are lots of families with young children in the street, it’s only a matter of time before the inevitable happens. I have been in the street 3 years and already I’ve seen 4 cars lose control on the corner halfway down Hitchcock st, 3 of which ended up in someone’s front yard."
267,209,"Intersection of Flowers Dr and Pacific Hwy, Catherine a Hill Bay",General,"For 2 decades I've lived here and seen our Progress Assoc do everything it can to see this intersection improved. Surveys, guest speakers - Councillors, research consultants, MPs. Nothing. Accidents continue. They all seem to just wait for a developer to pay. At least put 1 Speed Camera Ahead sign north of the intersection. Over the time my son was born and is now driving to uni every day, not quite awake, rushing to get a park there. I live in dread."
268,21,Blocked storm water drain,General,The storm water drain has been blocked for over three years now. Every time it rains 1/3 of the street floods in that area causing a major risk to passing traffic. This is even more of a safety concern as it is right beside a child care centre. The drain is in front of 56 Camden street
269,210,"Problems with Gertrude Street, North Gosford",General,"Pot holes, crumbling road surfaces, lack of proper K&G, never-ending littering, speeding in a high density housing area (increasingly so, with the influx of low rental accommodation in the area), motorists ""dodging"" police presence in Mann Street and Henry Parry Drive, when moving between ""watering holes"" in CBD & Wyoming & illegal parking , and neither GCC, nor Police, seem concerned. All of this, between 2 T-intersections, one each side of an almost ""blind"" crest, makes one wonder that both authorities, will, seemingly, only finally respond when the inevitable fatality, or serious accident occurs. Past representations to GCC to install some form of traffic taming device in the most dangerous section of the street, between Ormond & Etna Streets, met with virtual ridicule, I'm sorry to say."
270,218,Nathan Rogers Test Subject,General,Nathan Rogers Test Details
271,219,Unsafe Road,General,Tregeagle Road is constantly full of potholes which occur every time it rains and are only filled with rubble that washes away at the first sprinkle. Also large trucks and double B's drive along this road and cause havoc as they drive in the middle of the road which is has too many unsafe corners. How about some lines down the middle of the road or at least fix the pot holes permanently.
272,22,Raised bision impaired pedestrian tile,General,Lifting tile creating trip hazard
273,220,Bumpy and uneven road surface,General,Brooms Head Road up the hill from River Street is bumpy and uneven causing people to take very strang lines up the hill. On occasions drivers have slowed so much that others have attempted to overtake only to have the slower vehicle change direction and speed up as they pass teh rough section. A resurfacing would make this a more predictable place to drive.
274,221,Wapengo Lake RD,General,"Drainage problems continue to make road impassible after less than 1"" of rain. The first hundred metres of the road needs drainage to prevent the existing 30cm deep rut across the road reoccurring. Also further along the road up to the culvert all the drains are blocked so when it rains the water backs up right across the width of the road at the drains."
275,223,Lack of rain water drainage,General,Lack of rainwater drainage from the hill and roadways causing flash flooding during rain events.
276,224,"Speed signs, No speed Humps, and no paved sidewalks",General,"There is no pavements on the side walks, and people especially young children walk in the middle of the road. There are no speed limits on the main roads or the adjacent streets, and cars just speed up especially in Trevor Housley Avenue where there is no way to go. Some people dump rubbish as well and if it is a windy day we all get the rubbish in our lawns."
277,225,"A very ""bouncy Cessnock Rd",General,"Between Maitland and Cliftleigh, the road is so badly surfaced it is nearly impossible to keep the car on the road, extra traffic to the New Hunter Expressway has exacerbated an already broken down surface, ruts, crippled edges, potholes and uneven tar , only a matter of time before a speeding vehicle causes a head on because a rut threw the car to the wrong side."
278,23,Street light not working,General,Light not on
279,230,Street light out,General,"Street light is out outside 27 Ripple Crescent, The Ponds"
280,232,No road markings,General,"The intersections of Burns Road, Cleveland Street and Grosvenor Street in Wahroonga are not marked appropriately. The priority road goes from Cleveland through to Grosevenor with the two Burns Road intersections having Stop signs. However the council refuses to put line markings on this strange road layout. Thus people proceeding along Cleveland Street from Wahroonga turn turn across traffic from Grosvenor as they believe they have right of way - yet Burns road has a stop sign (ie it is the secondary road). Local drivers adopt the practise of stopping at the junction with Burns road and pretend there is a give way sign. The council should either mark the road with white lines to show the correct priority flow or put in a roundabout. The council has marked the roads approaching this interchange with white lines and has put in a new roundabout at Stuart Street but refuses to sort out this bizarre piece of road. Sooner or later there will be a nasty accidence."
281,233,Frame drive bridge,General,"Council changed limit on the bridge and to reinforce this they placed concrete barriers on either side to limit the size of vehicle that can past. The bus on its usual route scraped either side of the bus trying to fit though. The flow of traffic has slowed enormously. With frustrated drivers. One witnessed jumping the queue by three cars in front of him. Lights have now been added, only slowing traffic even more. The council also added more dirt and compacted it in the river bed. This was to allow the local school children to walk or ride through the river bed to get to and from school. This is an accident waiting to happen. Cessnock council has just made a huge problem out of a minor one."
282,234,Animal & people abuse,General,"Even though we have a lot of animals & they're a lot of people who take it in their hands try to get of them without council approval & believe some were slaughtered on our property even if we have a disability, it's believed they like hurting even if we get rid of the animals we're still targets for abuse we've told the police & the rspca & they've done nothing at all as if they're supporting it. the council should take authority over the rspca because we also believe that there are other people who may have a lot of animals & may or may not have a disability & don't have a farm are left alone & may have friends to help to either steal or slaughter other pets so no-one will know. We also have neighbour who suffers from strokes, drives a car, starts gossiping about things & watches porn videos & even if the neighbours knows about it, they do nothing about it as they're friends with him & they're others like us are copping similar problems to us. Also you should look into how some companies who are providing mobility equipment to the disabled as they maybe faulty and if the disabled want to put themselves way in credit to buy expensive equipment the company seems to think they've got the right to stop them from over crediting without asking the person in question first before doing it."
283,235,Hart Road Expressway exit,General,"Due to increased traffic at the intersection of Hart Road, Sawyers Gully Road and Gingers Lane, we have seen many accidents occur since the opening of the expressway, it is only a matter of time till we see a major accident happen. Due to increase traffic and poor visibility of traffic coming around the bends. A roundabout would help the flow of traffic and help avoid future accidents."
284,236,Broken/Missing grates over drain,General,There are several missing/broken grates in the drain along the pathway.
285,237,Pothole at traffic light,General,Pothole right on traffic light line. In Westbound queue second lane turning left
286,24,Pot hole,General,Fix pot hole test
287,240,Corner of Parry Street and Riviera Avenue,General,"The corner out of Parry Street, turning right into Riviera Ave can be hazardous when other traffic is nearby. Secondly, Council has recently ungraded half! of Parry St., but the remainder remains without a footpath, etc.. This is potentially dangerous for pedestrians, including young school children, who have to walk on a potholed and battered road that is frequently used by cars and trucks."
288,246,Swings,General,The problem is located at The Holt Community Park. It is in the Children's play area. The ground underneath the swing needs to be built up so little kids can climb onto the swing.
289,247,Path edgeing,General,The problem is located at The Holt community Park. Grass is growing across the circular path. The path needs to be trimmed with an edger.
290,248,Road,General,England ave has pot holes in maybe 4 spots and large also there is very poor lighting in the street at night
291,249,Broken Surface,General,The surface of Tasman Close from about half way up the street to the end has broken up and exposed many areas of the base as well as the sublayer. The street needs to be resurfaced.
292,25,Street lights,General,The lights need a shroud so that I can get to sleep please.
293,250,Buchanan Rd Rebuild,General,This road has been neglected for years and now that it takes more traffic because of its connection to the Hunter Expressway it is much worse and nothing is being done to improve it
294,251,"Narrow, winding road with crumbling edges",General,"George Downes Drive at Kulnura is a narrow tourist road on route between Sydney and the Hunter Valley. It is a popular road frequented by cars, trucks, bicycles and cars. Council and State Government have been asked to upgrade the road as there have been accidents and deaths. The response is that now they are going to lower the speed limit. Speed has not always been the cause of these accidents, avoiding potholes has been a factor. Fix the road don't reduce the speed to 80km and 60km on this country road."
295,253,Repair works needed,General,When it rains heavily the corner of Cleveland St and Anzac Parade floods. This makes it difficult for cars to be driven safely and impedes traffic flow.
296,254,Repairs needed,General,During heavy rain the street floods and water seeps into the business on the corner. Does not appear that stormwater drainage is adequate.
297,255,Tonga Park,General,Tonga Park has been reported by community members to have very poor lighting at night. It is believed that walking through this park is very dangerous at night as people under the influence seem to be in this dimly light park.
298,256,Missing painted arrows,General,"There are two lanes where a car can turn left or right out of Gloucester street bonnyrigg heights onto Cowpasture Road. However, there are no painted arrows on the road to indicate which lane is right turn only or left hand only. As such there is often a number of cases where cars have had near misses or there has been a bit of road rage. If arrows could be painted onto the road that would be appreciated."
299,258,Disgusting road,General,"Pot holes, uneven grading,unfinished work,Heavy Loaded Trucks using rd on daily basis"
300,263,Missing Telstra pit lid,Footpaths,Lid is missing / cracked on traffic island. Hazard to traffic and pedestrians
301,264,Damaged road surface,General,"There is an enormous squashed-in hole. Quite a while ago the road was re-tarred then sprinkled with gravel, leaving it quite soft and sticky, and the next time the garbage truck collected the bins the weight of the vehicle stopped in that spot gouged the big hole into the road."
302,265,Lakes way rainbow flat,General,Appalling damaged road surface on a serious corner
303,266,Road needs resurfacing and 2nd footpath needs to be established,General,The potholes in the road get only patched up and after a week or so they are back again.
304,268,Condition of Deasys Rd Rothbury,General,The east end of Deasys's Rd is in very poor condition and has been for a number of years. It is full of pot holes and the edges of the road are giving way and are all over the place. (Warping). The north end of McDonalds Rd Rothbury is also in need of repair. One section has sunk while another section on the bend is full of potholes.
305,269,Exposed cable on power pole,General,There is a power pole in front of number 35 when an exposed cable. There is a cover over the cable that has been damaged and left the cable exposed at around waist hight.
306,27,Pot hole,General,Since the rain just before the flood a couple of weeks ago a pot hole has developed at the intersection of Deighton Rd and Gladstone Rd - lots of gravel coming away from it and cars' tyres spinning on it.
307,270,Tunnel not working,General,Having trouble accessing the tunnel. When is it supposed to be accessable
308,272,Street needing resurfacing,General,The Street has big holes around the gutters and extremely loose gravel. The street needs resurfacing and probably a street sweeper giving it a good clean. This may help with the loose gravel.
309,273,Damage to the road service,General,There is currently 3 big hole there cancuile did turn up last time after alot of complain but they just fill the holls up they clearely need to be cutt of and redone again
310,274,No Street lights between 86 -92 northumberland rd 2144,General,There has been no street lights between 86-92 northumberland rd auburn nsw 2144 for several days. It seems the light bulbs need replacing as all the street lights are working. Please check it out ASAP.
311,275,ACT Government car park in disrepair,General,Surface uneven with numerous large potholes; entrance where concrete ends has a large pothole that will in short time cause significant damage to a car and potentially its occupants; surface eroded by rain
312,278,School car park with multiple problems,General,"The car park, owned not by the school but by the government, has several very large pot holes and gets very muddy in the wet."
313,279,ACT Government car park,General,"Unsealed dirt parking, uneven surface with numerous bumps and large potholes (one immediately at carpark entry), soil erosion and boggy when wet."
314,28,Gas leak,General,"In the street outside the property line of 34 Auburn Ave. Due to the system of ""private gas providers"" reports normally go via the householder to their retail provider. But this leak is on the street, somewhere - it is smelled by passers by and NOT by the householder. We have been unable to find out which agency is responsible for the gas lines in the street"
315,280,Blocked lane,General,At intersection of Vale and miller Street cars can turn right into Vale Street and park in the left hand lane. This means through traffic is entirely blocked whenever someone turns right. Has becone much worse in the last year with more parking for Cammeray public school
316,281,Pot holes,General,Pot holes exist for Coonanbarra Rd in the North bound lane. As soon as you turn into Coonanbarra Rd from the Pacific Hwy there are numerous pot holes. The road is in a desprite need of repairs before a Motorcyclist's tyres get caught and throws the rider/s off.
317,284,Unsafe and unsuitable parking area,General,"The ACT Government is responsible for the alternate car parking area, at Bonython Primary School, and needs to be made aware of the unsafe and unsuitable condition that this area is currently in. This includes:"
318,285,Pot holes,Pothole,Large pot holes near gutter on eastern side of intersection for westbound traffic.
319,286,Showground Rd,General,Entire Road requires resurfacing
320,287,Pedestrians crossing inappropriatly,Road Signs,There are signs telling pedestrians to cross at the lights on the western corner of Cowper St ( opposite the Mantra) & also on the eastern side of Valentine steer facing toward Cowper St. Since the opening of the new Atria apartment building there has been a significant increase in the number of pedestrians crossing from Cowper St to Valentine st. This creating safety issues when drivers are trying to turn right out of Cowper into Parkes St which is difficult enough as it is. I know a sign won't stop this problem but might alleviate it. Also there is a problem with the signage for parking outside 33-35 Cowper St driveway leading to people parking across said driveway.as the sign does not indicate parking is not allowed across the driveway.
321,288,Car Park issue,General,"Large pot holes, uneven surface, holes are getting bigger."
322,289,Concrete broken away on gutter,General,On the corner of 13th avenue and cypress terrace the concrete gutter is broken
323,29,Unsafe surface,General,Large pressure ridges in centre lane on the corner apex major steering issues fro motorcycles
324,291,Bad road surface,General,Pot hole in entrance to Lethbridge park shops behind the garage .. Corner Apia place and Bougainville rd. It is over half the entrance and was filled once before but is alot bigger this time.
325,292,Bad road surface,General,"Where the bridge is for the overpass near Lethbridge park primary school and shops the road surface has two pot holes not that far apart. Going twists copeland road on left hand side,"
326,294,Potholes,General,This section of Wallalong Crescent has deteriorated badly and is strewn with potholes and corrugation making the driving unsafe at times.
327,295,Road Surface,General,"Redbill Drive from Lawson Ave to Woodberry Road needs to be completely torn up and redone. Every time it rains, council come around to fill the holes only to be emptied again the next time it rains. The road surface is irregular, in fact, from about Eagle Close to Lawson Ave, you have to drive on the opposite side of the road to avoid the mole hills. The end of Redbill Drive at Woodberry Road is like swiss cheese."
328,297,More than ten pot holes,General,"Blue Ridge Drive, White Rock is riddled with pot holes and when a vehicle coming in the opposite directions approaches you are forced to drive over multiple pot holes."
329,299,Two growing potholes,General,"Two potholes that are rapidly expanding with large chunks of loose bitumen, not far from bus stop"
330,30,Road gutters and drains,General,"The end of Groningen road is dirt road with no gutter or drainage system and no footpaths. it is dangerous especially after heavy rain. The road needs sealing, footpaths & a proper drainage system"
331,300,Confusing traffic flow at intersection,Road Signs,"It is unclear at the Ferndell st traffic lights whether the two lanes of traffic can turn right onto Clyde st. Typically the left lane turns left onto Rawson rd and right lane turns left to Clyde st., which is the safest flow of traffic. However as there are no road signs or arrow markings on road, there are cases of cars turning right onto Clyde st from the left hand lane, who then immediately want to turn right on Wellington. This catches drivers unawares, cuts across traffic and causes merging issues. I have seen and experienced multiple near miss accidents here, as the drivers in right lane do not except someone to be undertaking from the left and then have them immediately turn right. If there were clear arrows marking the direction of turning on ferndell st, this problem would be solved. With left hand traffic only allowed left, and right lane traffic only allowed right."
332,301,Turn left on red sign required.,General,When turning left from Eurobin Avenue onto Pittwater Road I think it would be appropriate to have a 'turn left on red' sign. There is very good vision to the right to judge oncoming traffic for at least 200m. And the light cycle is understandably quite long.
333,302,Long queue in left lane,Road Signs,Darcy road into cumberland highway has two lanes; the right lane for right turn only. The left lane is used by all other traffic. Creates very long queues and delays during the daytime. Very small traffic using the right lane.
334,304,Pothole,General,Pothole just before roundabout
335,306,Bumps developed in road on corner,General,"Road is bumpy making the corner unsafe, cars need to slow significantly to take the corner, more than usual. this makes cars following come dangerously close to the rear as they are not expecting the car to slow down as much to take the corner."
336,308,23 plus potholes,General,There are roughly 23 potholes along Turramurra Ave from the Pacific Highway to the intersection with Boomerang St. These have become bigger since the recent rain. I understand that council doesn't want to resurface this road as the area is earmarked for further development. However given the state of the road I believe some remediation to patch these holes should be made for the council ratepayers that live around and use this road.
337,31,Excessive speeding,General,Cars speed along this road 24 hours a day. Use of speed bumps similar to Clarkson would be very nice.
338,313,Pot hole,General,Very large pot hole causing flat front passenger tyre. Another car behind me also got flat tyre. Both cars fixed by NRMA. Time of incident 6.15am 9/9/14
339,316,Road needs resurfacing,General,The road is getting very potholed and uneven at the intersection and needs to be redone
340,318,Test,General,This is just a test submission as we want to learn more about fixmystreet
341,319,Cars Racing on This Road,General,On weekends in the evening/ night hours there are cars racing up and down this section of the road. Please put a patrol or a speed camera.
342,320,Crossing,General,Many school kids either alone or with their parents cross this every morning and afternoon. Cars continue to drive faster than the speed limit and dangerous for those crossing the street. A crossing would benefit many pedestrians and hopefully also decrease cars speed.
343,321,Pot holes and Brocken edges of carriageway?,General,"The street is a throw back to the 1950,s and carries a large volume of traffic,especially in peak hours,school hours.and an embarrassment outside of the entrance to Rooty Hill R.S.L."
344,326,Radius of curve,General,This corner has a decreasing radius when coming from The Coast Road. There was a fatality this year on this bend. The corner needs to be redesigned so it has a constant radius.
345,330,Pothole,General,Recent pothole covered but opening up again
346,332,Pothole,Pothole,A pothole has developed right in the path of wheels
347,333,Road surface,General,The entire length of the bitumen section is patched to the point of being dangerously rough and uneven. Sections are comstantly falling away on the edges causing traffic to drive in the centre of the road. The gravel section has huge potholes and some corrugations. In places these also cause traffic to take evasive acrion and drive on the wrong side of the road.
348,334,Pothole on the road,General,There is a big pothole which is a hazard to all vehicles travelling from Doonside road (approaching from the Grt Western hwy) towards Bungaribee road Please fix ASAP
349,335,Graffiti on footpath,General,"The footpath has recently been replaced on the corner outside 9 Gerald Crescent. About one week ago, someone has spray painted graffiti on the footpath."
350,336,Poor lighting which is dangerous to pedestrians,General,"The side driveway to my block of units has no light on the street, making it very dangerous at night time pulling into the driveway because you cannot see any pedestrians and parked cars on the street add to this difficulty. It is particularly a problem in Winter when children are still walking on the street after 5.30pm when it is dark"
351,337,Dangerous driving,General,"Guildford road is a haven for fast drivers, it is constantly barraged at night by street racers, causing immediate concern to the families that live in the area, whilst constant and busy during the day it is at night when all the illegal driving occurs, many times I have seen near misses, many times are people blocking the street, speed bumps are needed on this lengthy street to slow drivers down. There is a large family community in the area of an average of 3 children per family."
352,338,Graffiti on location post and road,General,As well as graffiti on both sides of the Great Western Highway Minchinbury (already reported) there is graffiti on the location post on the side of the road.
353,339,Fix our road,General,"The street we reside on is quite long 1100 meters with 5 speed hump & legally zoned as a 4 tonne load limit, with many large trucks & motorbikes using this street, potholes are a regular issue, not to mention the inadequate positioning & worn speed humps, FIX OUR STREET"
354,343,Pothole,General,Pothole out on road adjacent to driveway. We have to swerve or straddle pothole to avoid damaging tyres which increases chance of accident w on coming vehicles as there is a 100km sign approx 100m before.
355,346,Speeding danger - urgent,General,Sunset Boulevarde is situated on a steep hill and motorists use the street as a short cut to Newcastle University. Students are often running late and speed down this street quite recklessly and at very high speeds although it is designated as a 50 zone. I suggest a couple of speed similar to those in Janet street bumps be installed in order to slow things down before a serious accident occurs
356,347,"Nimala Avenue, Koolewong",General,"This road is a disgrace it urgently needs attention. It is too narrow, has numerous potholes and broken pavement. Is difficult to turn around due to parked cars, caravans etc in the turning circle, & to access the private ramp to house numbers 29, 31, 33. We are trying to sell land @ 29 and interested parties are appalled at the state of the road. When will it get attention?"
357,348,Goat track called a road,General,"The bucketts way between taree and Gloucester is a disgrace for a main road nothing has been done for a long time to fix this road. this is a school bus route, you cannot hear youself because of the condition of road."
358,349,Speeding Drivers,General,Cars constantly go faster then 50kms/hr. There should be speed humps to slow them down ... particularly as there is a school at the end of the street.
359,35,Hole in nature strip & graffiti,General,"Hi, there is a small but deepish hole dug out in the grass/nature strip near the electric pole outside number 19 Blackshaws road Newport (on the side/south of the road near curb). Myself (carrying my baby) and my 4yr old have twisted our ankles getting in and out of our car a couple of times as its right where you need to stand to get in and/or adjust kids carseat etc. if it could be filled in that would be great? Also the electrical pole next to it has black graffiti on it too, would be good if this could be removed? Thanks."
360,350,Dangerous intersection,General,"There should be a roundabout on the corner of Childs st and John St Lidcombe. When turning right from Childs st into John st, visibility is very poor due to parked cars in John st. A roundabout here would go a long way towards resolving the problem."
361,352,Illegally Parked Vehicles,General,I have given up trying to catch the bus here due to the Bus Stop being parked out by illegally parked vehicles. They park on the nature strip and on the footpath also. The nature strip is now dirt. Can something be done to put a proper kerb stone in to stop vehicles mounting the footpath and using it as a parking station.
